"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2797","User should update expectations from work","Account","2026-09-13","passed","2026-09-13","Update Expectations From Work","Candidate / Edit Profile / Bio","",""
"","2252","User should see validation error when repeat new password is mismatched","Account","2026-09-13","passed","2026-09-13","Mismatched Repeat New Password","Candidate / Account Settings","",""
"","3923","User should update desired roles","Account","2026-09-13","passed","2026-09-13","Update Desired Roles","Candidate / Edit Profile / Role","",""
"","2249","User should see validation error when new password is empty","Account","2026-09-13","passed","2026-09-13","Empty New Passwrord","Candidate / Account Settings","",""
"","2042","Jobs should be visible","Jobs","2026-09-13","passed","2026-09-13","Jobs Is Visible","Guest","",""
"","1598","User should see validation error when email is already taken","Auth","2026-09-13","passed","2026-09-13","Email Already Taken","Sign Up / User","",""
"","2880","User should update Behance","Account","2026-09-13","passed","2026-09-13","Update Behance","Candidate / Edit Profile / Contacts","",""
"","4056","User should update English level","Account","2026-09-13","passed","2026-09-13","Update English Level","Candidate / Edit Profile / Expectations","",""
"","1274","User should see validation error when password is empty","Auth","2026-09-13","passed","2026-09-13","Empty Password","Sign Up / User","",""
"","1551","User should see validation error when job experience role is empty","Account","2026-09-13","passed","2026-09-13","Empty Role","Candidate / Edit Profile / Experience","",""
"","1845","User should see validation error when desired position is empty","Account","2026-09-13","passed","2026-09-13","Empty Desired Position","Candidate / Edit Profile / Role","",""
"","2616","Jobs should be filtered by category","Jobs","2026-09-13","passed","2026-09-13","Filter Jobs By Category","Guest","",""
"","2206","User should see validation error when current password is incorrect","Account","2026-09-13","passed","2026-09-13","Incorrect Current Password","Recruiter / Account Settings","",""
"","2126","User should see validation error when current password is empty","Account","2026-09-13","passed","2026-09-13","Empty Current Password","Candidate / Account Settings","",""
"","2264","User should logout successfully","Auth","2026-09-13","passed","2026-09-13","Success Logout","Logout","",""
"","2005","User should see validation error when current password is empty","Account","2026-09-13","passed","2026-09-13","Empty Current Password","Recruiter / Account Settings","",""
"","1487","User should see validation error when company is empty","Account","2026-09-13","passed","2026-09-13","Empty Company","Recruiter / Edit Profile","",""
"","5447","User should change password successfully","Account","2026-09-13","passed","2026-09-13","Change Password","Candidate / Account Settings","",""
"","1654","User should see validation error when password is incorrect","Auth","2026-09-13","passed","2026-09-13","Invalid Password","Sign In","",""
"","2464","User should update last name","Account","2026-09-13","passed","2026-09-13","Update Last Name","Recruiter / Edit Profile","",""
"","2624","User should update role","Account","2026-09-13","passed","2026-09-13","Update Role","Recruiter / Edit Profile","",""
"","12995","User should register with valid required-only fields","Auth","2026-09-13","passed","2026-09-13","Valid Required Fields","Sign Up / Recruiter","",""
"","1369","User should see validation error when repeat password is empty","Auth","2026-09-13","passed","2026-09-13","Empty Repeat Password","Sign Up / User","",""
"","3964","User should change password successfully","Account","2026-09-13","passed","2026-09-13","Change Password","Recruiter / Account Settings","",""
"","1632","User should see validation error when role is empty","Account","2026-09-13","passed","2026-09-13","Empty Role","Recruiter / Edit Profile","",""
"","1733","User should see validation error when desired annual base salary is empty","Account","2026-09-13","passed","2026-09-13","Empty Desired Annual Base Salary","Candidate / Edit Profile / Expectations","",""
"","1636","User should see validation error when job experience start date year is empty","Account","2026-09-13","passed","2026-09-13","Empty Start Date Year","Candidate / Edit Profile / Experience","",""
"","1371","User should see validation error when email is invalid","Auth","2026-09-13","passed","2026-09-13","Mismatched Repeat Password","Sign Up / User","",""
"","15308","User should register with all valid fields","Auth","2026-09-13","passed","2026-09-13","All Valid Fields","Sign Up / Candidate","",""
"","2097","User should see validation error when repeat new password is empty","Account","2026-09-13","passed","2026-09-13","Empty Repeat New Password","Candidate / Account Settings","",""
"","3150","User should update desired annual base salary","Account","2026-09-13","passed","2026-09-13","Update Desired Annual Base Salary","Candidate / Edit Profile / Expectations","",""
"","2221","Newsletter should show error when email is empty","Jobs","2026-09-13","passed","2026-09-13","Empty Email Subscribe Newsletter","Guest","",""
"","14049","User should register with valid required-only fields","Auth","2026-09-13","passed","2026-09-13","Valid Required Fields","Sign Up / Candidate","",""
"","2000","User should see validation error when repeat new password is empty","Account","2026-09-13","passed","2026-09-13","Empty Repeat New Password","Recruiter / Account Settings","",""
"","13098","User should register with all valid fields","Auth","2026-09-13","passed","2026-09-13","All Valid Fields","Sign Up / Recruiter","",""
"","4035","User should update job experience","Account","2026-09-13","passed","2026-09-13","Update Job Experience","Candidate / Edit Profile / Experience","",""
